11:00:32.882 INFO  manager.ListenerNG - onStart
11:01:23.729 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:23.747 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:24.021 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-profile']
11:01:24.176 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-profile']
11:01:24.425 INFO  manager.ListenerWd - Start find element by -->By.xpath: //a[text()='Atlassian profile']
11:01:25.208 INFO  manager.ListenerWd - Finish find element by -->By.xpath: //a[text()='Atlassian profile']
11:01:32.702 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-selector='profile-hover-info']
11:01:32.745 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-selector='profile-hover-info']
11:01:33.261 INFO  manager.ListenerWd - Start find element by -->By.xpath: //span[text()='Change profile photo']
11:01:33.383 INFO  manager.ListenerWd - Finish find element by -->By.xpath: //span[text()='Change profile photo']
11:01:33.552 INFO  manager.ListenerWd - Start find element by -->By.id: image-input
11:01:33.788 INFO  manager.ListenerWd - Finish find element by -->By.id: image-input
11:01:34.469 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: .css-10b45o3
11:01:34.725 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: .css-10b45o3
11:01:35.177 INFO  manager.ListenerWd - Start find element by -->By.xpath: //span[text()='Avatar added']
11:01:38.260 INFO  manager.ListenerWd - Finish find element by -->By.xpath: //span[text()='Avatar added']
11:01:38.523 INFO  manager.ListenerNG - onTestSuccess
11:01:38.527 INFO  manager.TestBase - Start method with name --->test
11:01:38.528 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:38.541 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:38.565 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:38.591 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:38.592 INFO  manager.ListenerNG - onTestStart
11:01:38.593 INFO  manager.TestBase - Start test test
11:01:38.594 INFO  manager.ListenerNG - onTestSuccess
11:01:38.598 INFO  manager.TestBase - Start method with name --->loginSuccess
11:01:38.599 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:38.615 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:38.641 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:38.656 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:38.657 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:38.698 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:01:38.800 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-logout']
11:01:38.915 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-logout']
11:01:44.175 INFO  manager.ListenerWd - Start find element by -->By.id: logout-submit
11:01:44.228 INFO  manager.ListenerWd - Finish find element by -->By.id: logout-submit
11:01:45.446 INFO  manager.ListenerNG - onTestStart
11:01:45.446 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: a[href='/login']
11:01:50.788 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: a[href='/login']
11:01:51.386 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: a[href='/login']
11:01:51.458 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: a[href='/login']
11:01:53.624 INFO  manager.ListenerWd - Start find element by -->By.id: user
11:01:53.796 INFO  manager.ListenerWd - Finish find element by -->By.id: user
11:01:54.198 INFO  manager.ListenerWd - Start find element by -->By.id: login
11:01:54.238 INFO  manager.ListenerWd - Finish find element by -->By.id: login
11:01:54.347 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: #password.css-wxvfrp
11:01:57.892 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: #password.css-wxvfrp
11:01:58.506 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: #login-submit
11:01:58.564 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: #login-submit
11:01:58.746 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:06.573 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:06.708 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:06.768 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:06.770 INFO  manager.ListenerNG - onTestSuccess
11:02:06.772 INFO  manager.TestBase - Start method with name --->loginSuccessUser
11:02:06.773 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:06.801 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:06.878 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:06.906 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:06.915 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:06.937 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:07.292 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-logout']
11:02:07.448 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-logout']
11:02:10.730 INFO  manager.ListenerWd - Start find element by -->By.id: logout-submit
11:02:10.758 INFO  manager.ListenerWd - Finish find element by -->By.id: logout-submit
11:02:11.439 INFO  manager.ListenerNG - onTestStart
11:02:11.439 INFO  manager.TestBase - Test start  with user --->User{email='hatum.testing@gmail.com', password='Hatum21$'}
11:02:11.440 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: a[href='/login']
11:02:16.728 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: a[href='/login']
11:02:16.779 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: a[href='/login']
11:02:16.874 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: a[href='/login']
11:02:21.473 INFO  manager.ListenerWd - Start find element by -->By.id: user
11:02:21.599 INFO  manager.ListenerWd - Finish find element by -->By.id: user
11:02:22.151 INFO  manager.ListenerWd - Start find element by -->By.id: login
11:02:22.187 INFO  manager.ListenerWd - Finish find element by -->By.id: login
11:02:22.397 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: #password.css-wxvfrp
11:02:26.120 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: #password.css-wxvfrp
11:02:26.838 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: #login-submit
11:02:26.856 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: #login-submit
11:02:26.937 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:34.039 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:34.083 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:34.120 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:34.120 INFO  manager.TestBase - Tests assert that logout button is present
11:02:34.120 INFO  manager.ListenerNG - onTestSuccess
11:02:34.121 INFO  manager.TestBase - Start method with name --->loginWithWrongEmail
11:02:34.122 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:34.144 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:34.204 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:34.262 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:34.263 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:34.287 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:34.484 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-logout']
11:02:34.621 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: [data-test-id='header-member-menu-logout']
11:02:36.972 INFO  manager.ListenerWd - Start find element by -->By.id: logout-submit
11:02:37.000 INFO  manager.ListenerWd - Finish find element by -->By.id: logout-submit
11:02:37.507 INFO  manager.ListenerNG - onTestStart
11:02:37.507 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: a[href='/login']
11:02:40.934 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: a[href='/login']
11:02:41.129 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: a[href='/login']
11:02:41.159 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: a[href='/login']
11:02:43.682 INFO  manager.ListenerWd - Start find element by -->By.id: user
11:02:43.767 INFO  manager.ListenerWd - Finish find element by -->By.id: user
11:02:44.064 INFO  manager.ListenerWd - Start find element by -->By.id: password
11:02:44.099 INFO  manager.ListenerWd - Finish find element by -->By.id: password
11:02:44.396 INFO  manager.ListenerWd - Start find element by -->By.id: login
11:02:44.425 INFO  manager.ListenerWd - Finish find element by -->By.id: login
11:02:44.570 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: div#error p
11:02:44.624 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: div#error p
11:02:45.727 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: div#error p
11:02:45.738 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: div#error p
11:02:45.765 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: div#error p
11:02:45.782 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: div#error p
11:02:45.811 INFO  manager.ListenerNG - onTestSuccess
11:02:45.816 INFO  manager.TestBase - Start method with name --->loginWithWrongPassword
11:02:45.818 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: [data-test-id='header-member-menu-button']
11:02:50.896 INFO  manager.ListenerWd - Something went wrong!!!
11:02:50.896 INFO  manager.ListenerWd - org.openqa.selenium.NoSuchElementException: no such element: Unable to locate element: {"method":"css selector","selector":"[data-test-id='header-member-menu-button']"}
  (Session info: chrome=104.0.5112.101)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'MacBook-Pro-Taya.local', ip: '192.168.0.104', os.name: 'Mac OS X', os.arch: 'x86_64', os.version: '10.16', java.version: '1.8.0_151'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 104.0.5112.101, chrome: {chromedriverVersion: 103.0.5060.53 (a1711811edd7..., userDataDir: /var/folders/s_/hl4vhy0959g...}, goog:chromeOptions: {debuggerAddress: localhost:53067}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: MAC, platformName: MAC, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 8d423f7482169e29fe49327767e8101e
*** Element info: {Using=css selector, value=[data-test-id='header-member-menu-button']}
11:02:52.509 INFO  manager.ListenerWd - Screen with problem is -->src/test/screenshots/screen-172.png
11:02:52.515 INFO  manager.ListenerNG - onTestStart
11:02:52.516 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: a[href='/login']
11:02:52.536 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: a[href='/login']
11:02:52.557 INFO  manager.ListenerWd - Start find element by -->By.id: user
11:02:52.574 INFO  manager.ListenerWd - Finish find element by -->By.id: user
11:02:53.103 INFO  manager.ListenerWd - Start find element by -->By.id: login
11:02:53.128 INFO  manager.ListenerWd - Finish find element by -->By.id: login
11:02:53.226 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: #password.css-wxvfrp
11:02:57.237 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: #password.css-wxvfrp
11:02:57.604 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: #login-submit
11:02:57.639 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: #login-submit
11:02:57.764 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: div#login-error span
11:02:58.642 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: div#login-error span
11:02:58.710 INFO  manager.ListenerWd - Start find element by -->By.cssSelector: div#login-error span
11:02:58.725 INFO  manager.ListenerWd - Finish find element by -->By.cssSelector: div#login-error span
11:03:01.626 INFO  manager.ListenerNG - onTestSuccess
11:03:01.629 INFO  manager.ListenerNG - onFinish
